question,instruction,answer
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 10971),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 10971)"
Why does Raskolnikov avoid his landlady? (context version 12992),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12992)
What is the significance of the letter Raskolnikov receives from his mother? (context version 564),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 564)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 1906),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 1906)"
How does Estella influence Pip's ambitions? (context version 5779),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 5779)
Why does the creature become violent? (context version 4048),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 4048)
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 5439),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 5439)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 1577),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 1577)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6193),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6193)"
Why does Jonathan Harker travel to Transylvania? (context version 6072),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 6072)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6757),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6757)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 12953),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 12953)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 5152),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 5152)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 12480),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 12480)"
Why does the creature become violent? (context version 80),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 80)
